Lat,Lon,Country,Month,Sunlight,Temp,Cloud
6.4280550000000005,-9.429499,Liberia,11,12313.280000000004,91.86666666666666,42.166666666666664
6.4280550000000005,-9.429499,Liberia,12,15623.650000000001,93.74193548387096,28.548387096774192
8.619543,0.824782,Togo,01,20618.51,99.2258064516129,5.161290322580645
8.619543,0.824782,Togo,02,19372.860000000008,103.79310344827586,6.068965517241379
8.619543,0.824782,Togo,03,17637.99,101.19354838709677,21.483870967741936
8.619543,0.824782,Togo,04,17532.030000000002,101.83333333333333,20.9
8.619543,0.824782,Togo,05,16702.21,98.2258064516129,28.225806451612904
8.619543,0.824782,Togo,06,12680.179999999998,92.76666666666667,44.13333333333333
8.619543,0.824782,Togo,07,8958.27,88.87096774193549,61.67741935483871
8.619543,0.824782,Togo,08,8714.95,87.25806451612904,62.16129032258065
8.619543,0.824782,Togo,09,10855.489999999998,90.7,50.36666666666667
8.619543,0.824782,Togo,10,17152.480000000007,95.25806451612904,22.612903225806452
8.619543,0.824782,Togo,11,19276.57,98.56666666666666,8.733333333333333
8.619543,0.824782,Togo,12,20185.810000000005,98.93548387096774,6.741935483870968
9.30769,2.315834,Benin,01,20602.91,100.7741935483871,4.870967741935484
9.30769,2.315834,Benin,02,19185.11,105.48275862068965,6.793103448275862
9.30769,2.315834,Benin,03,17464.139999999996,104.48387096774194,22.258064516129032
9.30769,2.315834,Benin,04,17440.459999999995,102.23333333333333,21.5
9.30769,2.315834,Benin,05,16623.38,99.38709677419355,28.806451612903224
9.30769,2.315834,Benin,06,12435.670000000004,95.43333333333334,45.43333333333333
9.30769,2.315834,Benin,07,8621.97,90.80645161290323,63.25806451612903
9.30769,2.315834,Benin,08,7339.079999999999,87.80645161290323,68.2258064516129
9.30769,2.315834,Benin,09,9309.16,89.66666666666667,57.46666666666667
9.30769,2.315834,Benin,10,15055.649999999998,94.61290322580645,31.967741935483872
9.30769,2.315834,Benin,11,19115.399999999998,100.13333333333334,9.2
9.30769,2.315834,Benin,12,20541.529999999995,100.29032258064517,4.709677419354839
9.945587,-9.696645,Guinea,01,17655.47,95.19354838709677,18.29032258064516
9.945587,-9.696645,Guinea,02,19631.39,102.24137931034483,4.482758620689655
9.945587,-9.696645,Guinea,03,20395.100000000002,106.93548387096774,9.225806451612904
9.945587,-9.696645,Guinea,04,18404.079999999998,106.1,17.2
9.945587,-9.696645,Guinea,05,17021.140000000003,103.06451612903226,27.29032258064516
9.945587,-9.696645,Guinea,06,13746.379999999997,97.06666666666666,39.86666666666667
9.945587,-9.696645,Guinea,07,10516.31,91.74193548387096,55.29032258064516
9.945587,-9.696645,Guinea,08,8977.779999999999,89.74193548387096,61.193548387096776
9.945587,-9.696645,Guinea,09,11609.409999999998,91.66666666666667,46.96666666666667
9.945587,-9.696645,Guinea,10,17251.489999999998,97.90322580645162,22.06451612903226
9.945587,-9.696645,Guinea,11,18202.840000000004,98.9,13.333333333333334
9.945587,-9.696645,Guinea,12,20000.299999999996,98.0,6.935483870967742
18.109581,-77.297508,Jamaica,01,14096.390000000001,87.7741935483871,32.225806451612904
18.109581,-77.297508,Jamaica,02,14765.900000000001,86.44827586206897,26.586206896551722
18.109581,-77.297508,Jamaica,03,16969.22,87.83870967741936,24.322580645161292
18.109581,-77.297508,Jamaica,04,12621.250000000002,86.7,44.166666666666664
18.109581,-77.297508,Jamaica,05,15004.490000000002,90.35483870967742,37.935483870967744
18.109581,-77.297508,Jamaica,06,12029.659999999998,90.73333333333333,49.36666666666667
18.109581,-77.297508,Jamaica,07,16652.82,93.09677419354838,31.580645161290324
18.109581,-77.297508,Jamaica,08,12981.759999999998,91.54838709677419,45.12903225806452
18.109581,-77.297508,Jamaica,09,12292.58,92.06666666666666,44.13333333333333
18.109581,-77.297508,Jamaica,10,9042.17,89.70967741935483,58.58064516129032
18.109581,-77.297508,Jamaica,11,11131.929999999998,88.06666666666666,45.233333333333334
18.109581,-77.297508,Jamaica,12,13766.079999999998,88.12903225806451,33.16129032258065
26.3351,17.228331,Libya,01,18458.780000000002,67.25806451612904,7.129032258064516
26.3351,17.228331,Libya,02,16933.739999999998,75.3103448275862,13.517241379310345
26.3351,17.228331,Libya,03,20329.2,81.25806451612904,9.096774193548388
26.3351,17.228331,Libya,04,21383.550000000003,97.86666666666666,7.233333333333333
26.3351,17.228331,Libya,05,21593.68,99.58064516129032,13.741935483870968
26.3351,17.228331,Libya,06,23794.019999999993,105.6,4.0
26.3351,17.228331,Libya,07,25073.040000000005,101.41935483870968,0.9354838709677419
26.3351,17.228331,Libya,08,23756.080000000005,101.29032258064517,2.064516129032258
